StudentID,Gender,Faculty,StudyHours,Attendance,InternetHours,ExamScore,Result
S100,Female,Computer,4.9,76.4,5.1,61.6,Pass
S101,Female,Electronics,6.2,87.9,3.9,60.0,Pass
S102,Female,Software,5.7,83.0,4.7,64.3,Pass
S103,Male,Electronics,5.5,88.1,2.3,65.9,Pass
S104,Male,Civil,6.4,75.6,2.0,52.7,Pass
S105,Male,Software,5.4,78.3,5.3,50.8,Pass
S106,Male,Software,4.1,68.6,4.7,54.0,Pass
S107,Male,Computer,4.5,76.8,4.0,58.7,Pass
S108,Male,Computer,4.2,85.9,5.9,65.3,Pass
S109,Male,Software,5.3,77.0,2.6,70.7,Pass
S110,Male,Electronics,3.4,84.8,3.4,52.8,Pass
S111,Male,Electronics,2.3,74.3,5.5,35.6,Fail
S112,Female,Software,5.1,74.1,6.8,48.3,Fail
S113,Male,Computer,3.0,80.4,4.0,66.1,Pass
S114,Female,Computer,2.1,78.1,6.5,52.6,Pass
S115,Male,Civil,5.6,85.9,3.1,56.7,Pass
S116,Male,Computer,3.9,81.8,4.5,68.2,Pass
S117,Male,Software,5.7,97.4,3.7,72.0,Pass
S118,Female,Civil,4.2,77.8,1.6,47.6,Fail
S119,Male,Computer,3.3,77.7,4.4,56.9,Pass
S120,Female,Software,3.1,69.6,5.4,35.2,Fail
S121,Female,Civil,4.2,80.2,3.8,40.0,Fail
S122,Male,Computer,4.6,86.8,3.9,69.8,Pass
S123,Female,Software,3.8,72.6,6.1,49.2,Fail
S124,Male,Civil,4.6,79.5,2.1,51.6,Pass
S125,Male,Computer,2.7,87.2,1.8,67.0,Pass
S126,Male,Software,5.0,78.7,3.0,63.2,Pass
S127,Male,Electronics,2.3,74.8,2.2,49.9,Fail
S128,Female,Electronics,4.7,89.7,6.0,51.5,Pass
S129,Female,Software,6.0,81.0,4.5,63.4,Pass
S130,Male,Computer,6.6,84.0,2.7,71.7,Pass
S131,Female,Software,7.6,91.7,3.1,81.1,Pass
S132,Male,Software,2.7,91.5,8.3,50.7,Pass
S133,Male,Software,6.1,76.5,3.1,67.3,Pass
S134,Male,Software,6.8,74.7,2.9,73.5,Pass
S135,Male,Electronics,6.5,82.8,4.5,65.2,Pass
S136,Female,Electronics,3.6,78.7,5.0,47.9,Fail
S137,Female,Computer,5.6,61.0,4.3,64.5,Pass
S138,Male,Software,7.8,92.8,2.6,73.5,Pass
S139,Female,Computer,2.8,80.2,2.3,65.4,Pass
S140,Female,Software,5.7,87.4,4.9,66.1,Pass
S141,Male,Software,6.7,68.3,3.9,55.5,Pass
S142,Female,Electronics,4.0,92.9,1.5,67.2,Pass
S143,Male,Software,5.9,74.1,5.8,55.7,Pass
S144,Male,Software,3.4,78.9,5.2,55.8,Pass
S145,Female,Electronics,3.8,66.0,3.6,43.7,Fail
S146,Male,Software,3.8,78.3,3.6,60.9,Pass
S147,Male,Civil,5.3,77.7,4.3,52.9,Pass
S148,Male,Computer,4.9,78.1,3.0,65.5,Pass
S149,Female,Electronics,6.4,84.4,2.0,59.8,Pass
S150,Female,Software,3.6,80.6,4.5,55.2,Pass
S151,Male,Software,4.8,89.8,1.8,72.3,Pass
S152,Male,Software,6.4,75.3,4.6,61.7,Pass
S153,Female,Software,5.8,70.0,1.8,61.2,Pass
S154,Female,Software,3.0,79.8,3.9,56.5,Pass
S155,Male,Computer,6.0,86.3,3.8,63.9,Pass
S156,Male,Computer,4.3,92.4,6.7,63.9,Pass
S157,Female,Electronics,5.6,88.1,2.4,58.3,Pass
S158,Male,Software,5.5,62.3,1.9,59.9,Pass
S159,Male,Electronics,6.8,83.8,3.0,62.2,Pass
S160,Male,Civil,5.2,94.6,2.3,54.1,Pass
S161,Female,Electronics,2.2,80.6,3.1,46.0,Fail
S162,Female,Computer,2.9,74.8,4.6,51.8,Pass
S163,Female,Computer,6.1,83.1,5.2,71.4,Pass
S164,Male,Software,4.6,75.0,6.5,50.5,Pass
S165,Female,Computer,6.7,86.4,2.9,77.6,Pass
S166,Female,Civil,5.4,79.9,8.0,39.7,Fail
S167,Female,Civil,3.9,93.9,7.0,48.9,Fail
S168,Female,Electronics,6.6,85.0,3.7,63.3,Pass
S169,Female,Software,3.8,72.8,0.6,62.1,Pass
S170,Female,Electronics,1.9,86.0,3.9,49.4,Fail
S171,Male,Computer,8.1,89.4,4.1,79.9,Pass
S172,Male,Computer,2.1,74.3,0.6,64.2,Pass
S173,Female,Software,6.0,75.7,4.1,63.9,Pass
S174,Female,Electronics,6.4,56.9,3.7,51.7,Pass
S175,Female,Software,5.2,89.0,2.8,66.7,Pass
S176,Male,Computer,2.5,74.1,4.9,53.4,Pass
S177,Male,Computer,6.5,58.8,5.5,64.5,Pass
S178,Male,Computer,2.8,62.3,3.3,62.8,Pass
S179,Female,Computer,3.0,77.8,4.3,56.3,Pass
